name,age,price,hardcap,social,daily_views,daily_time,success
fysical,77.0,0.045,18214286.0,8739,2.0,168.0,0
ixtus,82.0,0.0585,6700000.0,81753,1.0,138.0,1
destream,54.0,0.006,11914894.0,26700,1.7,182.0,0
goldma,42.0,0.13,33925754.0,1320,1.9,200.0,0
xrt,85.0,0.0696,11603750.0,19744,1.7,135.0,0
jcash,14.0,0.2,45066700.0,11373,1.0,166.0,0
fondocoin,93.0,0.2,33333333.0,18230,1.0,30.0,0
0xcert,128.0,0.0497,9545455.0,15938,2.0,106.0,1
talao,117.0,0.46,11142857.0,10399,3.0,94.0,0
coinseason,78.0,0.0153,4053829.0,6239,2.6,194.0,0
roomdao,72.0,0.1254,5876875.0,19386,1.0,115.0,0
pingpaid,54.0,0.2054,33817187.0,8344,4.3,205.0,0
acutecoin,147.0,0.6,11818182.0,99,1.0,172.0,0
springrole,115.0,0.0025,12184333.0,46504,3.7,295.0,0
tixguru,24.0,0.0038,12399888.0,130,3.0,185.0,1
medibit,54.0,0.0,3441745.0,19830,1.0,39.0,0
bitex,9.0,1.0,276000000.0,94396,2.0,176.0,0
ternion,37.0,43.516,28788460.0,5395,2.9,238.0,0
exolover,117.0,0.085,25751111.0,3489,1.0,97.0,0
metahash,86.0,0.0135,35972000.0,52098,1.4,155.0,1
slate,129.0,0.03,125000000.0,399,2.6,145.0,0
bitscreener,142.0,0.083,6910800.0,8982,1.9,256.0,1
cyclean,94.0,0.0278,53000000.0,65849,1.9,155.0,0
essentia,138.0,0.043,25500000.0,25610,1.6,192.0,1
etheal,123.0,0.7592,8200000.0,12712,1.7,81.0,0
crystals,121.0,0.1,14478944.0,6407,1.0,125.0,0
etherisc,123.0,0.0911,29118669.0,2668,2.0,150.0,0
tim,138.0,0.0171,14360000.0,34254,2.0,277.0,1
redcab,39.0,0.0912,11855235.0,26298,1.1,118.0,0
ozex,75.0,0.01,156066333.0,11165,2.0,129.0,0
squeezer,146.0,0.25,18750000.0,19883,2.0,90.0,1
staramba,23.0,1.0,45365746.0,28911,2.0,135.0,0
immvrse,77.0,0.2,19908450.0,24169,1.9,169.0,1
travelblock,128.0,0.14,28314607.0,2272,3.0,167.0,1
elysian,138.0,0.12,7000000.0,44252,1.5,91.0,1
parcelx,22.0,0.18,40000000.0,2037,1.0,86.0,0
tutellus,54.0,0.05,20000000.0,8048,1.0,141.0,0
planex,83.0,0.0274,20555556.0,6082,1.0,139.0,0
farmatrust,131.0,0.05,20250000.0,7664,2.0,262.0,1
