ico_name,date,year,website,age_months,age_days,country,industry,hardcap,money_raised,pct_complete,sol_pct_complete,hardcap_reached,token_prx,followers,team_size,cum_years_experience,accredited_advisors,media_mentions,listing_prx,token_prx_1m,token_prx_3m,token_prx,log_rets_1m,log_rets_3m,log_rets
BOScoin,05/10/2017,17,https://boscoin.io/en/home/,,236,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Nexxus,05/08/2017,17,http://www.nexxuscoin.com/sections/company/21/nexxuscoin/index.html,,238,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Quantum Resistant Ledger,05/07/2017,17,https://theqrl.org/,,239,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
TokenCard,05/02/2017,17,https://tokencard.io/,,244,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Creativechain,05/01/2017,17,https://www.creativechain.org,,245,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Apptrade,4/30/2017,17,https://www.apptrade.io/,,246,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Lunyr,4/28/2017,17,https://lunyr.com/,,248,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Back to Earth,4/28/2017,17,https://backto.earth/,,248,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
TaaS,4/27/2017,17,https://taas.fund/,,249,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Humaniq,4/27/2017,17,https://humaniq.co/,,249,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Gnosis,4/24/2017,17,https://gnosis.pm/,,252,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
IEX.EC,4/19/2017,17,http://iex.ec/,,257,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
WeTrust,04/12/2017,17,https://www.wetrust.io/,,264,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Blockchain Capital,04/10/2017,17,http://blockchain.capital/,,266,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Aeternity,04/06/2017,17,https://www.aeternity.com/,,270,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Cosmos Network,04/06/2017,17,https://cosmos.network/,,270,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Cosmos,04/05/2017,17,https://cosmos.network/,,271,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
